Unlock,Name,Effect,How To Get
FALSE,A'taerii Booster,"While carrying a Heavy Weapon, gain 10% Damage and 10%Critical Chance.",Can be found in N'erud.
FALSE,Acid Stone,Increases ACID damage by 10% and ACID Resistance by 15%.,Can be bought from Reggie at Ward 13.
FALSE,Ahanae Crystal,Deal 5% additional damage for each Status Effect the target is suffering from.,Can be bought from Reggie after killing any Yaesha world boss in Hardcore mode on any difficulty.
FALSE,Akari War Band,Perfect Dodges increase Critical Chance by 15% and Critical Damage by 15% for 15s.,Can be bought from Cass.
FALSE,Alchemy Stone,Increases base Lifesteal by 6% while suffering from a negative STATUS or BLIGHT Effect.,Can be found in Losomn as a random drop.
FALSE,Alumni Ring,Increases all Elemental damage dealt by 10%.,Can be found in Losomn - Morrow Parish. Found on a tomb outside of the Asylum after defeating The Nightweaver.
FALSE,Amber Moonstone,"When the wearer's Health drops below 35%, all incoming damage is reduced by 25% and wearer becomes immune to Temporary Status Effects.",Can be bought from Cass.
FALSE,Anastasija's Inspiration,"When receiving healing effects, gain HASTE for 10s.",Can be found in Root Earth - Also can be bought from Whispers at Ward 13
FALSE,Archer's Crest,Increases Projectile Speed by 20% and Decreases Weapon Charge Time by 25%.,Can be found in Yaesha - Endaira's End.
FALSE,Assassin's Seal,Reduces enemy Awareness Range by 25%. Increases all damage dealt to enemies not targeting wearer by 10%.,Can be found in Losomn - Council Tribunal.
FALSE,Atonement Fold,"Self-inflicts BLEEDING Status upon the wearer, causing 1.1 BLEED damage per second. Increases Critical Chance by 10%","Can be bought from Leywise in Forlorn Coast for x500 Scrap
Exclusive Ring for The Awakened King DLC."
FALSE,Band Band,Icreases Speed of Revive and being Revived by 35%. Increases Downed Health and Downed Movement Speed by 100%.,Can be found in Yaesha - Endaira's End. A reward for completing Wind Tower puzzle in co-op (requires two players to complete).
FALSE,Band of Accord,Ammo acquired on pickup is increased by 25% per ally also wearing this ring and is shared with other allies.,Can be bought from Reggie after doing the High Five emote in co-op.
FALSE,Band of the Fanatic,Increases Status Effect Damage by 25% and reduces Status Effect Duration by 65%,"Given the Preacher if you are wearing the whole Zealot's Set.
Exclusive Ring for The Awakened King DLC."
FALSE,Berserker's Crest,Increases Melee Charge Speed by 20% and reduces Melee Stamina Cost by 25%.,Can be found in Yaesha - The Chimney.
FALSE,Bisected Ring,Gain Infinite Stamina. All damage received is increased by 15%.,"Found in the Labyrinth Backrooms, in The Labyrinth."
FALSE,Bitter Memento,Sets 1% of wearer's Max Health as Grey Health,Losomn - Offer Memoriam Medallion Keyto Nightweaver's Web.
FALSE,Black Cat Band,"When taking fatal damage, instead of dying, the wearer's Health will drop to 1, and Movement Speed will increase by 25% for 10s. 2m cooldown.",Can be bought from Reggie after dying 15 times.
FALSE,Black Pawn Stamp,Reduces Cooldowns of Skills by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the Blue Flames.
FALSE,Blackout Ring,"After dealing 20% of the Weapon's Total Magazine base damage, increases Reload Speed by 3%. Stacks 5x Cleared on Reload.",Can be found in N'Erud - Vault of the Formless.
FALSE,Blasting Cap Ring,Increases Explosive damage by 10%.,Can be found in N'Erud - Timeless Horizon.
FALSE,Blessed Ring,"After receiving a benefit from a Relic, gain 2 Stacks of BULWARK for 30s.",Can be bought from Cass.
FALSE,Blood Jewel,"Charged Melee Attacks apply BLEEDING, dealing 460 BLEEDdamage over 20s.",Can be found in Yaesha - The Forbidden Grove.
FALSE,Blood Tinged Ring,Gain 2 Health Regeneration per second when within 25m of a BLEEDING entity.,Can be found in Yaesha - The Lament.
FALSE,Booster Ring,Increases all Status Resistances by 25.,Can be found in Losomn - Council Chamber.
FALSE,Braided Thorns,"After killing an enemy, gain 15% increased Critical Chance for 10s.",Can be bought from Cass.
FALSE,Brawler's Pride,Increases Melee Attack Speed by 15%.,"Can be found in Yaesha as a random drop.
Exclusive Ring for The Awakened King DLC."
FALSE,Bridge Wardens Crest,Perfect Dodge increases Melee Damage by 15% for 7 seconds. Perfect Evade Flop also gains 10% Damage Reduction for the duration.,"When you speak to the Bridge Warden and have NOT killed any of the Fae who are fighting with the Dran, he will award you this ring and praise you for not succumbing to the blood hunger."
FALSE,Burden of Departed,Reduces Total Relic Charges by 33%. Increases all damage dealt by 10%,Defeat The One True King while having Burden of the Divine equipped.
FALSE,Burden of the Audacious,Decreases all healing by 50%. Perfect Dodges heal for 20% of Max Health.,Can be bought from Cass.
FALSE,Burden of the Destroyer,Decreases Ideal Range of all Firearms by 25%. Increases all damage dealt by 15%.,Can be bought from Cass.
