Unlock,Name,Effect,How To Get,Location
False,A'taerii Booster,"While carrying a Heavy Weapon, gain 10% Damage and 10%Critical Chance.",Can be found in N'erud.,N'erud
False,Acid Stone,Increases ACID damage by 10% and ACID Resistance by 15%.,Can be bought from Reggie at Ward 13.,Ward 13
False,Ahanae Crystal,Deal 5% additional damage for each Status Effect the target is suffering from.,Can be bought from Reggie after killing any Yaesha world boss in Hardcore mode on any difficulty.,Yaesha
False,Akari War Band,Perfect Dodges increase Critical Chance by 15% and Critical Damage by 15% for 15s.,Can be bought from Cass.,Ward 13
False,Alchemy Stone,Increases base Lifesteal by 6% while suffering from a negative STATUS or BLIGHT Effect.,Can be found in Losomn as a random drop.,Losomn
False,Alumni Ring,Increases all Elemental damage dealt by 10%.,Can be found in Losomn - Morrow Parish. Found on a tomb outside of the Asylum after defeating The Nightweaver.,Losomn
False,Amber Moonstone,"When the wearer's Health drops below 35%, all incoming damage is reduced by 25% and wearer becomes immune to Temporary Status Effects.",Can be bought from Cass.,Ward 13
False,Anastasija's Inspiration,"When receiving healing effects, gain HASTE for 10s.",Can be found in Root Earth - Also can be bought from Whispers at Ward 13,Ward 13
False,Archer's Crest,Increases Projectile Speed by 20% and Decreases Weapon Charge Time by 25%.,Can be found in Yaesha - Endaira's End.,Yaesha
False,Assassin's Seal,Reduces enemy Awareness Range by 25%. Increases all damage dealt to enemies not targeting wearer by 10%.,Can be found in Losomn - Council Tribunal.,Losomn
False,Atonement Fold,"Self-inflicts BLEEDING Status upon the wearer, causing 1.1 BLEED damage per second. Increases Critical Chance by 10%","Can be bought from Leywise in Forlorn Coast for x500 Scrap
Exclusive Ring for The Awakened King DLC.",Unclear
False,Band Band,Icreases Speed of Revive and being Revived by 35%. Increases Downed Health and Downed Movement Speed by 100%.,Can be found in Yaesha - Endaira's End. A reward for completing Wind Tower puzzle in co-op (requires two players to complete).,Yaesha
False,Band of Accord,Ammo acquired on pickup is increased by 25% per ally also wearing this ring and is shared with other allies.,Can be bought from Reggie after doing the High Five emote in co-op.,Unclear
False,Band of the Fanatic,Increases Status Effect Damage by 25% and reduces Status Effect Duration by 65%,"Given the Preacher if you are wearing the whole Zealot's Set.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Berserker's Crest,Increases Melee Charge Speed by 20% and reduces Melee Stamina Cost by 25%.,Can be found in Yaesha - The Chimney.,Yaesha
False,Bisected Ring,Gain Infinite Stamina. All damage received is increased by 15%.,"Found in the Labyrinth Backrooms, in The Labyrinth.",Unclear
False,Bitter Memento,Sets 1% of wearer's Max Health as Grey Health,Losomn - Offer Memoriam Medallion Keyto Nightweaver's Web.,Losomn
False,Black Cat Band,"When taking fatal damage, instead of dying, the wearer's Health will drop to 1, and Movement Speed will increase by 25% for 10s. 2m cooldown.",Can be bought from Reggie after dying 15 times.,Unclear
False,Black Pawn Stamp,Reduces Cooldowns of Skills by 10%.,Can be found in Losomn. Player needs to complete The Flames Event using only the Blue Flames.,Losomn
False,Blackout Ring,"After dealing 20% of the Weapon's Total Magazine base damage, increases Reload Speed by 3%. Stacks 5x Cleared on Reload.",Can be found in N'Erud - Vault of the Formless.,N'erud
False,Blasting Cap Ring,Increases Explosive damage by 10%.,Can be found in N'Erud - Timeless Horizon.,N'erud
False,Blessed Ring,"After receiving a benefit from a Relic, gain 2 Stacks of BULWARK for 30s.",Can be bought from Cass.,Ward 13
False,Blood Jewel,"Charged Melee Attacks apply BLEEDING, dealing 460 BLEEDdamage over 20s.",Can be found in Yaesha - The Forbidden Grove.,Yaesha
False,Blood Tinged Ring,Gain 2 Health Regeneration per second when within 25m of a BLEEDING entity.,Can be found in Yaesha - The Lament.,Yaesha
False,Booster Ring,Increases all Status Resistances by 25.,Can be found in Losomn - Council Chamber.,Losomn
False,Braided Thorns,"After killing an enemy, gain 15% increased Critical Chance for 10s.",Can be bought from Cass.,Ward 13
False,Brawler's Pride,Increases Melee Attack Speed by 15%.,"Can be found in Yaesha as a random drop.
Exclusive Ring for The Awakened King DLC.",Yaesha
False,Bridge Wardens Crest,Perfect Dodge increases Melee Damage by 15% for 7 seconds. Perfect Evade Flop also gains 10% Damage Reduction for the duration.,"When you speak to the Bridge Warden and have NOT killed any of the Fae who are fighting with the Dran, he will award you this ring and praise you for not succumbing to the blood hunger.",Ward 13
False,Burden of Departed,Reduces Total Relic Charges by 33%. Increases all damage dealt by 10%,Defeat The One True King while having Burden of the Divine equipped.,Unclear
False,Burden of the Audacious,Decreases all healing by 50%. Perfect Dodges heal for 20% of Max Health.,Can be bought from Cass.,Ward 13
False,Burden of the Destroyer,Decreases Ideal Range of all Firearms by 25%. Increases all damage dealt by 15%.,Can be bought from Cass.,Ward 13
False,Burden of the Divine,All damage dealt by wearer is reduced by 10%. 50% of self healing applies to allies.,Can be found in Losomn as a random drop.,Losomn
False,Burden of the Follower,Reduces Fire Rate by 15%. Increases Mod Power Generation by 50%.,Can be found in Yaesha - Endaira's Endin a hidden room.,Yaesha
False,Burden of the Gambler,Disables Weakspots. Increases Critical Chance by 10% and Critical Damage by 20%.,Cass in Ward 13 can potentially sell this ring.,Ward 13
False,Burden of the Mariner,Increases Skill Cooldowns by 25%. Generate 10% additional Mod Power for each Skill on Cooldown.,"Can be found in N'Erud - Ascension Spire.
Can be crafted at Drzyr Replicator, you will need the following Materials: x10 Iron, 500 Scrap.",N'erud
False,Burden of the Rebel,Reduces Skill Cooldowns by 15% but decreases Relic Use Speed by 25%.,"Can be found in Yaesha - Red Throne, as a reward from the Eternal Empress if you give her the Thaen Seed.",Yaesha
False,Burden of the Sciolist,Reduces Ammo Reserves by 25%. Increases Mod and Skill Damage by 15%,"Give the Bookbound Medallion to Leywise to receive the Burden of the Sciolist
Exclusive Ring for The Awakened King DLC.",Unclear
False,Burden of the Stargazer,Reduces Skill Cooldowns by 15%. Activating a Skill costs 15% Health.,Can be found in N'Erud - Tower of the Unseen as a random drop.,N'erud
False,Burden of the Warlock,Reduces Mod Power Requirement by 15%. Activating a Mod costs 15% Health as Grey Health. Activation cannot kill wearer.,Can be found in Losomn as a random drop.,Losomn
False,Captain's Insignia,Increases Revive Speed and Relic Consume Speed by 25%per downed or dead ally. Max 2 stacks.,Can be found in Yaesha - Endaira's End. Co-op only.,Yaesha
False,Cataloger's Jewel,Automatically generates 8 Mod Power per second.,Can be found in Losomn - Beatific Palace.,Losomn
False,Celerity Stone,Increases Consumable and Relic Use Speed by 20%.,Can be found in Yaesha - The Lament.,Yaesha
False,Compulsion Loop,"After killing an enemy, gain 5% Fire Rate and Melee Attack Speed for 7s. Stacks 3x.",Can be bought from Cass.,Ward 13
False,Conservation Seal,For every 10% of Health missing (Max 50%) gain 5% chance to not consume Relic and 5% increased Relic Efficacy on next use.|,Can be found in N'Erud - Vault of the Formless.,N'erud
False,Constant Variable Ring,Increases Ranged damage up to 20% based on current Weapon's Overheat value.,Can be found in N'Erud - Tower of the Unseen.,N'erud
False,Crimson Dreamstone,Crit hits increase Skill Damage 1% for 10s. Max stack 15.,Use Liquid Escape while taking on the Ethereal Manor Event,Unclear
False,Dead King's Memento,Increases Health by 15.,Can be bought from Cass.,Ward 13
False,Deceiver's Band,"After performing a Slide, gain 15% Evade Speed and 10%Movement Speed for 12s.",Can be bought from Cass.,Ward 13
False,Deep Pocket Ring,Increases Ammo Reserves by 25%.,Can be found in N'Erud as a random drop.,N'erud
False,Defensive Action Loop,"While reloading, and for 3s after reload completes, incoming damage is reduced by 10%.",Can be found in N'Erud - Astropath's Respíte. Random Drop.,N'erud
False,Dense Silicon Ring,Gain 200% of Health Regenerated as Mod Power.,Can be found in The Labyrinth.,Unclear
False,Devoured Loop,Critical Hits have 1% chance to reset Skill Cooldowns. Can only occur once every 10s. Increases all incoming damage by 10%.,Can be bought from Reggie after completing Campaign on Apocalypse difficulty.,Unclear
False,Digested Hog Lure,Reloading increases Mod Damage by 10% for 5s.,"Can be found in Forlorn Coast. Dropped by one of the hogs that attack you near the anchor statue.
Exclusive Ring for The Awakened King DLC.",Unclear
False,Drakestone Pearl,Enables Stamina Regeneration during Melee Attacks at 20%of the normal rate.,Can be found in Losomn Sewer locations. Player needs to be grabbed by a Manticora.,Losomn
False,Dran Memento,Increases Max Stamina by 20 and reduces Encumbrance by 5.,"Can be found in Losomn, by saving the dran in The Burning Event
Burning can be prevented by killing all the enemies, not allowing any to light the fire under the hanging man.",Losomn
False,Dran Scavenger Sigil,"Collecting Scrap, Iron, and Ammo pickups regenerates 15%of Max Health and increases all damage dealt by 8% for 30s.",Can be bought from Reggie after defeating any Losomn world boss in Hardcore mode on any difficulty.,Losomn
False,Dread Font,Increases Grey Health Regeneration rate by 2 per second.,Can be found in Losomn as a random drop.,Losomn
